========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (IN-PLACE): soluzioni/soluzione_ip_grid_3.txt
   Dimensioni Griglia: 30x30 | Start: (0,0) | Goal: (15,15)
========================================================================================

--- MATRICE DEI VALORI V* ('#'=Ostacolo) ---
   71.00    72.00    71.00    70.00    69.00    68.00    67.00    66.00    65.00    64.00    63.00    62.00    61.00    60.00    59.00    58.00    57.00    56.00    55.00    54.00    53.00    52.00    51.00    50.00    49.00    48.00    47.00    46.00    45.00    44.00 
   72.00    73.00    72.00    71.00    70.00    69.00    68.00    67.00    66.00    65.00    64.00    63.00    62.00    61.00    60.00    59.00    58.00    57.00    56.00    55.00    54.00    53.00    52.00    51.00    50.00    49.00    48.00    47.00    46.00    45.00 
   73.00    74.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #    45.00    44.00 
   74.00    75.00    76.00    77.00    76.00    75.00    74.00    73.00    72.00    71.00    70.00    69.00    68.00    67.00    66.00    65.00    64.00    63.00    62.00    61.00    60.00    59.00    58.00    57.00    56.00    55.00    54.00        #    44.00    43.00 
   73.00    74.00        #    78.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #    53.00        #    43.00    42.00 
   72.00    73.00        #    79.00    80.00    81.00    80.00    79.00    78.00    77.00    76.00    75.00    74.00    73.00    72.00    71.00    70.00    69.00    68.00    67.00    66.00    65.00    64.00    63.00    62.00        #    52.00        #    42.00    41.00 
   71.00    72.00        #    78.00        #    82.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #    61.00        #    51.00        #    41.00    40.00 
   70.00    71.00        #    77.00        #    83.00    84.00    85.00    84.00    83.00    82.00    81.00    80.00    79.00    78.00    77.00    76.00    75.00    74.00    73.00    72.00    71.00    70.00        #    60.00        #    50.00        #    40.00    39.00 
   69.00    70.00        #    76.00        #    82.00        #    86.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #    69.00        #    59.00        #    49.00        #    39.00    38.00 
   68.00    69.00        #    75.00        #    81.00        #    87.00    88.00    89.00    88.00    87.00    86.00    85.00    84.00    83.00    82.00    81.00    80.00    79.00    78.00        #    68.00        #    58.00        #    48.00        #    38.00    37.00 
   67.00    68.00        #    74.00        #    80.00        #    86.00        #    90.00        #        #        #        #        #        #        #        #        #        #    77.00        #    67.00        #    57.00        #    47.00        #    37.00    36.00 
   66.00    67.00        #    73.00        #    79.00        #    85.00        #    91.00    92.00    93.00    92.00    91.00    90.00    89.00    88.00    87.00    86.00        #    76.00        #    66.00        #    56.00        #    46.00        #    36.00    35.00 
   65.00    66.00        #    72.00        #    78.00        #    84.00        #    90.00        #    94.00        #        #        #        #        #        #    85.00        #    75.00        #    65.00        #    55.00        #    45.00        #    35.00    34.00 
   64.00    65.00        #    71.00        #    77.00        #    83.00        #    89.00        #    95.00    96.00    97.00    98.00    99.00    98.00        #    84.00        #    74.00        #    64.00        #    54.00        #    44.00        #    34.00    33.00 
   63.00    64.00        #    70.00        #    76.00        #    82.00        #    88.00        #    94.00        #    98.00    99.00   100.00    99.00        #    83.00        #    73.00        #    63.00        #    53.00        #    43.00        #    33.00    32.00 
   62.00    63.00        #    69.00        #    75.00        #    81.00        #    87.00        #    93.00        #    99.00   100.00     0.00   100.00        #    82.00        #    72.00        #    62.00        #    52.00        #    42.00        #    32.00    31.00 
   61.00    62.00        #    68.00        #    74.00        #    80.00        #    86.00        #    92.00        #    98.00    99.00   100.00    99.00        #    81.00        #    71.00        #    61.00        #    51.00        #    41.00        #    31.00    30.00 
   60.00    61.00        #    67.00        #    73.00        #    79.00        #    85.00        #    91.00        #        #        #        #        #        #    82.00        #    70.00        #    60.00        #    50.00        #    40.00        #    30.00    29.00 
   59.00    60.00        #    66.00        #    72.00        #    78.00        #    84.00        #    90.00    89.00    88.00    87.00    86.00    85.00    84.00    83.00        #    69.00        #    59.00        #    49.00        #    39.00        #    29.00    28.00 
   58.00    59.00        #    65.00        #    71.00        #    77.00        #    83.00        #        #        #        #        #        #        #        #        #        #    70.00        #    58.00        #    48.00        #    38.00        #    28.00    27.00 
   57.00    58.00        #    64.00        #    70.00        #    76.00        #    82.00    81.00    80.00    79.00    78.00    77.00    76.00    75.00    74.00    73.00    72.00    71.00        #    57.00        #    47.00        #    37.00        #    27.00    26.00 
   56.00    57.00        #    63.00        #    69.00        #    75.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #    58.00        #    46.00        #    36.00        #    26.00    25.00 
   55.00    56.00        #    62.00        #    68.00        #    74.00    73.00    72.00    71.00    70.00    69.00    68.00    67.00    66.00    65.00    64.00    63.00    62.00    61.00    60.00    59.00        #    45.00        #    35.00        #    25.00    24.00 
   54.00    55.00        #    61.00        #    67.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #    46.00        #    34.00        #    24.00    23.00 
   53.00    54.00        #    60.00        #    66.00    65.00    64.00    63.00    62.00    61.00    60.00    59.00    58.00    57.00    56.00    55.00    54.00    53.00    52.00    51.00    50.00    49.00    48.00    47.00        #    33.00        #    23.00    22.00 
   52.00    53.00        #    59.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #    34.00        #    22.00    21.00 
   51.00    52.00        #    58.00    57.00    56.00    55.00    54.00    53.00    52.00    51.00    50.00    49.00    48.00    47.00    46.00    45.00    44.00    43.00    42.00    41.00    40.00    39.00    38.00    37.00    36.00    35.00        #    21.00    20.00 
   50.00    51.00        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #        #    22.00    21.00 
   49.00    50.00    49.00    48.00    47.00    46.00    45.00    44.00    43.00    42.00    41.00    40.00    39.00    38.00    37.00    36.00    35.00    34.00    33.00    32.00    31.00    30.00    29.00    28.00    27.00    26.00    25.00    24.00    23.00    22.00 
   48.00    49.00    48.00    47.00    46.00    45.00    44.00    43.00    42.00    41.00    40.00    39.00    38.00    37.00    36.00    35.00    34.00    33.00    32.00    31.00    30.00    29.00    28.00    27.00    26.00    25.00    24.00    23.00    22.00    21.00 

--- POLITICA OTTIMA pi* ('#'=Ostacolo, 'G'=Goal) ---
  v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <  
  v    v    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    ^    ^  
  >    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    #    ^    ^  
  ^    ^    #    v    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    ^    #    ^    ^  
  ^    ^    #    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    #    ^    #    ^    ^  
  ^    ^    #    ^    #    v    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    v    #    #    #    #    #    #    #    #    #    #    #    #    #    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    >    >    v    <    <    <    <    <    <    <    <    <    <    <    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    v    #    #    #    #    #    #    #    #    #    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    >    >    v    <    <    <    <    <    <    <    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    v    #    #    #    #    #    #    ^    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    >    >    v    v    v    v    #    ^    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    ^    #    v    v    v    v    #    ^    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    ^    #    >    >    G    <    #    ^    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    ^    #    ^    ^    ^    ^    #    ^    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    ^    #    #    #    #    #    #    v    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    ^    <    <    <    <    <    <    <    #    ^    #    ^    #    ^    #    ^    #    ^    ^  
