========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (STANDARD): soluzioni/soluzione_std_grid_7.txt
   Dimensioni Griglia: 70x70 | Start: (0,0) | Goal: (69,69)
========================================================================================

--- MATRICE DEI VALORI V* ('#'=Ostacolo) ---
  -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00 
  -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00 
  -35.00   -34.00        #        #        #   -30.00   -29.00        #        #        #   -25.00   -24.00        #        #        #   -20.00   -19.00        #        #        #   -15.00   -14.00        #        #        #   -10.00    -9.00        #        #        #    -5.00    -4.00        #        #        #     0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00    32.00    33.00    34.00 
  -34.00   -33.00        #        #        #   -29.00   -28.00        #        #        #   -24.00   -23.00        #        #        #   -19.00   -18.00        #        #        #   -14.00   -13.00        #        #        #    -9.00    -8.00        #        #        #    -4.00    -3.00        #        #        #     1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00    33.00    34.00    35.00 
  -33.00   -32.00        #        #        #   -28.00   -27.00        #        #        #   -23.00   -22.00        #        #        #   -18.00   -17.00        #        #        #   -13.00   -12.00        #        #        #    -8.00    -7.00        #        #        #    -3.00    -2.00        #        #        #     2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00    34.00    35.00    36.00 
  -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00 
  -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00 
  -30.00   -29.00        #        #        #   -25.00   -24.00        #        #        #   -20.00   -19.00        #        #        #   -15.00   -14.00        #        #        #   -10.00    -9.00        #        #        #    -5.00    -4.00        #        #        #     0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00    37.00    38.00    39.00 
  -29.00   -28.00        #        #        #   -24.00   -23.00        #        #        #   -19.00   -18.00        #        #        #   -14.00   -13.00        #        #        #    -9.00    -8.00        #        #        #    -4.00    -3.00        #        #        #     1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00    38.00    39.00    40.00 
  -28.00   -27.00        #        #        #   -23.00   -22.00        #        #        #   -18.00   -17.00        #        #        #   -13.00   -12.00        #        #        #    -8.00    -7.00        #        #        #    -3.00    -2.00        #        #        #     2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00    39.00    40.00    41.00 
  -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00 
